locale_id,localename,town_id,town_name,census11pp,bng_e,bng_n,long_wgs,lat_wgs,Geometry
1110001337,Boyn Hill,1120026007,Maidenhead,15473,487037.082904648,180401.519857334,-0.747058,51.51579,"POLYGON ((-0.754521882147515 51.5248069273737,-0.754521882147515 51.511674654204,-0.75512017078994 51.5123626989385,-0.755177281837628 51.5128176264296,-0.755223208833545 51.5128676449995,-0.756975261732262 51.5128566456189,-0.757392283600614 51.5127486963042,-0.758776244931469 51.5133187074395,-0.758923278823559 51.5137147151609,-0.760251212734723 51.5137897022667,-0.760820270363498 51.5141787496793,-0.760707239795952 51.5146396977201,-0.761237232164331 51.5150107112576,-0.762223277257704 51.516368619349,-0.762317265076961 51.5164126697613,-0.762382315883753 51.5164546169985,-0.762293250999194 51.5171497216105,-0.76261122843702 51.5178607157826,-0.764114319014866 51.5193017264123,-0.76850522458382 51.5204506152038,-0.770771355330704 51.5209056856316,-0.770771352911622 51.5209057754995,-0.770815311710011 51.5223896536622,-0.770611358286183 51.5225227162616,-0.770199310888328 51.5228806678447,-0.768044239027551 51.5251906989717,-0.762582271980295 51.5254726620244,-0.762145324566663 51.5255796107301,-0.762115298196336 51.5255736306905,-0.759876322700897 51.5262137602164,-0.75973438789992 51.5264027437808,-0.759482391614469 51.5264517685113,-0.757758225223345 51.5258686386074,-0.757419232604588 51.5259786742969,-0.75586124273342 51.5257496575286,-0.755797276918209 51.5255237067693,-0.754584347369481 51.5248106602994,-0.754521882147515 51.5248069273737))"
1110001339,Cox Green,1120026007,Maidenhead,9478,487060.787455313,179113.978412239,-0.747034,51.504212,"POLYGON ((-0.754521882147515 51.4884089181726,-0.756643034328333 51.4880716109451,-0.757095307007398 51.4879997246042,-0.757962211024509 51.4881747610141,-0.76064724923692 51.490400703337,-0.761846187879818 51.4930736788756,-0.76191323900781 51.4931107036232,-0.761926393600839 51.4931161461876,-0.762058174738673 51.4931706641253,-0.762289206235216 51.4932661419496,-0.766304467403334 51.4949272432027,-0.767689465396912 51.4957425729159,-0.770850563331505 51.4974109909522,-0.771424726060089 51.4980345741412,-0.771838976362323 51.4982930407867,-0.77205801879792 51.4984297246155,-0.772143995391865 51.4984835718192,-0.771081793438675 51.5002083833544,-0.769826790112236 51.5010963225213,-0.769480454784875 51.5013414256545,-0.769348217866297 51.5014349660911,-0.769222050230422 51.5017000868715,-0.769136170959471 51.5018806808559,-0.768724274326127 51.5027466175528,-0.768606271901322 51.5028936133915,-0.768484283941824 51.5050617322797,-0.769095250797451 51.507271612246,-0.769253199774745 51.5073576792386,-0.769324628716104 51.5073963635647,-0.769846808274774 51.5100337389846,-0.768080110199018 51.5114467536968,-0.767158149413562 51.5119732833731,-0.76683760653482 51.5122144246695,-0.766600689307209 51.5126410852303,-0.766545737601154 51.5127400194884,-0.766486409750024 51.5128469981141,-0.767145273336486 51.5145106576948,-0.77202128308205 51.5181756818857,-0.772428309765188 51.5189396288348,-0.772450295713213 51.5189926261847,-0.772450172080275 51.5189928046776,-0.770771355330704 51.5209056856316,-0.76850522458382 51.5204506152038,-0.764114319014866 51.5193017264123,-0.76261122843702 51.5178607157826,-0.762293250999194 51.5171497216105,-0.762382315883753 51.5164546169985,-0.762317265076961 51.5164126697613,-0.762223277257704 51.516368619349,-0.761237232164331 51.5150107112576,-0.760707239795952 51.5146396977201,-0.760820270363498 51.5141787496793,-0.760251212734723 51.5137897022667,-0.758923278823559 51.5137147151609,-0.758776244931469 51.5133187074395,-0.757392283600614 51.5127486963042,-0.756975261732262 51.5128566456189,-0.755223208833545 51.5128676449995,-0.755177281837628 51.5128176264296,-0.75512017078994 51.5123626989385,-0.754521882147515 51.511674654204,-0.754521882147515 51.4884089181726))"
1110001340,Furze Platt,1120026007,Maidenhead,20911,486808.389644887,182496.460186903,-0.749838,51.534657,"POLYGON ((-0.754521882147515 51.537952570976,-0.754521882147515 51.5248069273737,-0.754584347369481 51.5248106602994,-0.755797276918209 51.5255237067693,-0.75586124273342 51.5257496575286,-0.757419232604588 51.5259786742969,-0.757758225223345 51.5258686386074,-0.759482391614469 51.5264517685113,-0.75973438789992 51.5264027437808,-0.759876322700897 51.5262137602164,-0.762115298196336 51.5255736306905,-0.762145324566663 51.5255796107301,-0.762582271980295 51.5254726620244,-0.768044239027551 51.5251906989717,-0.770199310888328 51.5228806678447,-0.770611358286183 51.5225227162616,-0.770815311710011 51.5223896536622,-0.775020303823216 51.5245007220008,-0.776012425315382 51.5245330092876,-0.777708716056839 51.5245880871527,-0.780547223320424 51.5246807261322,-0.782965359731362 51.525210671529,-0.78441025838973 51.5255267009308,-0.784414299012602 51.5255356422015,-0.784626805806761 51.5266250997477,-0.784669697817023 51.5268444335172,-0.784681286744207 51.5269046919788,-0.784737979253437 51.527288762759,-0.784840043839422 51.527982175729,-0.785098064628722 51.5297338054613,-0.781670270198266 51.5311376325206,-0.77805930066508 51.5357126742501,-0.779242309397925 51.5378087047035,-0.77166631532397 51.5404936775085,-0.769745359055828 51.5400362259097,-0.769495511760883 51.5399767041471,-0.76722813442266 51.5394364723495,-0.76722801556796 51.539436471101,-0.765787854535139 51.5372541031671,-0.763305160482389 51.53657210571,-0.762945810717545 51.5364000383116,-0.761178351349689 51.5339408857135,-0.760218879923807 51.534112965937,-0.760218756201276 51.534113144416,-0.760164701210289 51.5341513172283,-0.754762553847074 51.5379813635007,-0.754521882147515 51.537952570976))"
1110001443,Eastheath,1120000292,Wokingham,2650,480435.831390213,166895.285976566,-0.84524,51.395348,"POLYGON ((-0.860500021538325 51.3927476833265,-0.859322076091691 51.3958166392486,-0.858590121131119 51.3957216873613,-0.855203057534751 51.3967346690625,-0.855167041478902 51.3967626340649,-0.855776086737672 51.3982076106655,-0.855037147701611 51.3996636965662,-0.852974156975436 51.3992256092254,-0.851056083864233 51.3984876696157,-0.848926104627036 51.3991876369349,-0.848888065687831 51.3993195880253,-0.847498152936887 51.4004556809254,-0.848237089563954 51.4020116446584,-0.847920152905214 51.4022516946249,-0.847039038133142 51.4025656628134,-0.846385019662856 51.4025686673464,-0.846123067145001 51.4026156209976,-0.845044072473615 51.4021776371186,-0.844054083166399 51.4021876558503,-0.844005060025453 51.4022186354782,-0.84373806116861 51.4023716993664,-0.84356216016284 51.4030626906987,-0.843413121649719 51.4032006465832,-0.841976008121741 51.4031586813503,-0.8419190855965 51.4030986987991,-0.841159043123431 51.402859619717,-0.840533054673215 51.4033946842353,-0.839883073600591 51.4031626184701,-0.839876115360633 51.4022896744335,-0.839603062065926 51.4021286676629,-0.838389083314989 51.4021606925676,-0.835900041792827 51.4025296494508,-0.835982121089927 51.4008835972878,-0.836301158663342 51.4006516008378,-0.836735140836175 51.3995746570227,-0.836613129526839 51.3983476442815,-0.831401091498767 51.3961446223909,-0.83039316104929 51.3955756946853,-0.830091068081703 51.3949436872217,-0.835354158413535 51.3927007290961,-0.836540005522869 51.3887726924597,-0.838259981786185 51.3886137387913,-0.840304040018417 51.3887826663599,-0.842132109913967 51.3888616876139,-0.842745019881317 51.3888176692659,-0.842847045192446 51.388817687694,-0.843329975808554 51.3888436694705,-0.844054020743283 51.3885697117132,-0.845884155127176 51.388401664362,-0.847064089867159 51.3876866582947,-0.847609110563684 51.3883586765715,-0.848010047568357 51.3880586840797,-0.851301045813953 51.3874416740461,-0.852491016092256 51.3876666498733,-0.852811057895608 51.388311630005,-0.852881025739058 51.3886506779684,-0.855470018512453 51.3897636210998,-0.855558980378545 51.3898646322484,-0.856133997900683 51.390760650437,-0.856287966817883 51.3919096563155,-0.860500021538325 51.3927476833265))"
1110001444,Emmbrook,1120000292,Wokingham,11019,479402.881890406,169917.50087655,-0.859408,51.422663,"POLYGON ((-0.887237101502444 51.4068736041924,-0.886716146160324 51.4092106679691,-0.886461103226657 51.4102326781334,-0.886402119370326 51.4104256597022,-0.886225128122048 51.4105376043988,-0.883595018741377 51.4118286364953,-0.883028048055481 51.4120296327036,-0.877193106865737 51.4113496704105,-0.876937116094458 51.4117236048815,-0.87397215930301 51.4141176298457,-0.873365119534099 51.4142045685285,-0.872913132401012 51.4152376913721,-0.873378125090481 51.4162756723923,-0.874758198085284 51.4165966333653,-0.875594124648585 51.4176495812197,-0.875052224009254 51.4192886336374,-0.875627049048086 51.4219675935978,-0.875509042535361 51.4220166226743,-0.874669056914505 51.4220676237301,-0.872158206513619 51.4244906798642,-0.871389187747329 51.4247976389067,-0.86970110177496 51.425858666121,-0.868780157079666 51.425616689491,-0.86791719412565 51.4254666875573,-0.865623175811932 51.425590682866,-0.864691124483182 51.4256736230514,-0.863384057053855 51.4262356514897,-0.862888104551913 51.4266416579693,-0.862231138866689 51.4273466154531,-0.861554193618621 51.4286925886249,-0.861375228452896 51.4287736431282,-0.85981209982064 51.4295496994692,-0.859237053114627 51.4299476399466,-0.858520178263999 51.4313106463937,-0.854159126043904 51.4324916558128,-0.851618187916643 51.4342266507345,-0.849863055391792 51.4357666802705,-0.849647110289166 51.4366806705839,-0.845788245949318 51.4387196583661,-0.843651182056788 51.4402427105272,-0.836180151308317 51.4386816824654,-0.8343441852447 51.4369986991654,-0.838237136567873 51.433564639874,-0.836411071839432 51.4294046642445,-0.836771108926704 51.4279906967334,-0.831905156234599 51.4263386087207,-0.834095107539833 51.4239337130856,-0.83553102706175 51.4221206143387,-0.834598107481799 51.4206947018106,-0.835299168392993 51.4196766943644,-0.836017144078989 51.4192427137119,-0.836626176565813 51.4187137082013,-0.83707813846748 51.4186967074334,-0.839642069874969 51.4176895863224,-0.839717046240646 51.4176646186151,-0.840412222846279 51.4172946598945,-0.841588182856631 51.4176286459001,-0.843138174117695 51.4178436956762,-0.844392103201723 51.4170946581999,-0.84604520337611 51.4175657156783,-0.84683611708707 51.4172906007402,-0.84713015800895 51.4170365749566,-0.847397134001508 51.4165526026824,-0.848771133769539 51.4165656533169,-0.848828075331619 51.4165456266738,-0.84973705604901 51.4167096159456,-0.850399138895446 51.4164356401247,-0.85042511218831 51.4163786322142,-0.850603033402504 51.4161016148182,-0.852435138596644 51.4156326056103,-0.85226419734063 51.4153046163747,-0.85097819542899 51.4145636967805,-0.850899164572172 51.4144386883914,-0.850926213483156 51.4144096479983,-0.852736116517871 51.4133136741912,-0.852685159017698 51.4129526997174,-0.853022143407998 51.4119986236561,-0.852710173236613 51.4114936016421,-0.853088051523712 51.4111886022629,-0.854296063765516 51.4108066774256,-0.854713093369142 51.410167648868,-0.855221091500383 51.4098636440616,-0.855401193055343 51.4092976305551,-0.85489203768554 51.4090406846933,-0.855232119183851 51.4082206645328,-0.854826029503482 51.4077866441309,-0.854889159403029 51.4077556180164,-0.857123134000106 51.4075375803347,-0.857173163913599 51.4074755915497,-0.85723713300994 51.4074345940931,-0.857406075403418 51.4067346160445,-0.859005068675212 51.4062976621706,-0.859336040789043 51.4060116032943,-0.859579090094061 51.4050566837937,-0.860154184903824 51.4051256524903,-0.864577063258638 51.4055486468099,-0.864630010693546 51.4055646214306,-0.86513203350777 51.4058326029071,-0.866582090048161 51.406069659137,-0.867322089381953 51.4063885645127,-0.867634179201144 51.4064906429322,-0.868049140676332 51.4069586843249,-0.869566077231993 51.407956674133,-0.869725043756701 51.4083656072746,-0.872060012430857 51.4096255790078,-0.875952077384966 51.4093476126581,-0.877641144994031 51.406941688426,-0.878733117064253 51.4067546403696,-0.887085031835475 51.4067066656606,-0.887237101502444 51.4068736041924))"
1110001445,Wokingham,1120000292,Wokingham,17931,481608.229608423,169177.072821876,-0.827867,51.415694,"POLYGON ((-0.8343441852447 51.4369986991654,-0.831840171414827 51.4363626804546,-0.830878186913216 51.4362455795356,-0.827568045261637 51.4361505914721,-0.827203126089813 51.4358466060738,-0.817137152597446 51.4354006594028,-0.816382201618676 51.435040655996,-0.816899238727824 51.4344487072545,-0.817506117522221 51.4334177202995,-0.816763168208211 51.4290626721687,-0.815719165924679 51.4278496164176,-0.815527137247571 51.4271346353419,-0.81554116634622 51.4270736489661,-0.811905140995481 51.4252116463281,-0.810167105368243 51.4252056174794,-0.806221067469523 51.4252796712951,-0.80248817104509 51.4251386745148,-0.799159122237135 51.4232997244932,-0.799361131940097 51.4190336936907,-0.800101026581317 51.4185587149455,-0.800509149954883 51.4168237020725,-0.800871205648625 51.4162456983468,-0.800923162185237 51.4132396164219,-0.800863143631244 51.4131726603263,-0.800122138777959 51.4114106954821,-0.801219137409243 51.4077107083575,-0.800465104555978 51.4076276633837,-0.800091068346453 51.4072616498159,-0.800025053081499 51.4071976882297,-0.797447111454191 51.4050667461436,-0.798510058547632 51.4016506782174,-0.798510084446289 51.4016496896404,-0.798517123926947 51.4015167175355,-0.796901121978075 51.3987997030567,-0.796920109809394 51.3987716709666,-0.801603130095023 51.3983067020244,-0.802370152077579 51.3986627037462,-0.807303183457312 51.4008276844425,-0.806841038061481 51.4043997113732,-0.810815115693934 51.4043497495687,-0.811940064084864 51.4041427122211,-0.812754024892335 51.4038417212682,-0.814281185998814 51.4042427363686,-0.815545177728709 51.4041497087452,-0.816324095096809 51.4041997369966,-0.816451133891192 51.4041596681811,-0.818242058484152 51.4035037066942,-0.819413173752591 51.4032877141357,-0.820973157323569 51.4021046702478,-0.821743142736238 51.4010986707755,-0.820686149964883 51.3997877159176,-0.820646059146706 51.3996367390563,-0.827343062655843 51.3945747181422,-0.830091068081703 51.3949436872217,-0.83039316104929 51.3955756946853,-0.831401091498767 51.3961446223909,-0.836613129526839 51.3983476442815,-0.836735140836175 51.3995746570227,-0.836301158663342 51.4006516008378,-0.835982121089927 51.4008835972878,-0.835900041792827 51.4025296494508,-0.838389083314989 51.4021606925676,-0.839603062065926 51.4021286676629,-0.839876115360633 51.4022896744335,-0.839883073600591 51.4031626184701,-0.840533054673215 51.4033946842353,-0.841159043123431 51.402859619717,-0.8419190855965 51.4030986987991,-0.841976008121741 51.4031586813503,-0.843413121649719 51.4032006465832,-0.84356216016284 51.4030626906987,-0.84373806116861 51.4023716993664,-0.844005060025453 51.4022186354782,-0.844054083166399 51.4021876558503,-0.845044072473615 51.4021776371186,-0.846123067145001 51.4026156209976,-0.846385019662856 51.4025686673464,-0.847039038133142 51.4025656628134,-0.847920152905214 51.4022516946249,-0.848237089563954 51.4020116446584,-0.847498152936887 51.4004556809254,-0.848888065687831 51.3993195880253,-0.848926104627036 51.3991876369349,-0.851056083864233 51.3984876696157,-0.852974156975436 51.3992256092254,-0.855037147701611 51.3996636965662,-0.856917066837059 51.401437680446,-0.857536045729474 51.4015416095531,-0.857652104904488 51.401545617218,-0.858707993299115 51.4021065947363,-0.859473028835879 51.4048886283743,-0.8595540284025 51.4050396297543,-0.859579090094061 51.4050566837937,-0.859336040789043 51.4060116032943,-0.859005068675212 51.4062976621706,-0.857406075403418 51.4067346160445,-0.85723713300994 51.4074345940931,-0.857173163913599 51.4074755915497,-0.857123134000106 51.4075375803347,-0.854889159403029 51.4077556180164,-0.854826029503482 51.4077866441309,-0.855232119183851 51.4082206645328,-0.85489203768554 51.4090406846933,-0.855401193055343 51.4092976305551,-0.855221091500383 51.4098636440616,-0.854713093369142 51.410167648868,-0.854296063765516 51.4108066774256,-0.853088051523712 51.4111886022629,-0.852710173236613 51.4114936016421,-0.853022143407998 51.4119986236561,-0.852685159017698 51.4129526997174,-0.852736116517871 51.4133136741912,-0.850926213483156 51.4144096479983,-0.850899164572172 51.4144386883914,-0.85097819542899 51.4145636967805,-0.85226419734063 51.4153046163747,-0.852435138596644 51.4156326056103,-0.850603033402504 51.4161016148182,-0.85042511218831 51.4163786322142,-0.850399138895446 51.4164356401247,-0.84973705604901 51.4167096159456,-0.848828075331619 51.4165456266738,-0.848771133769539 51.4165656533169,-0.847397134001508 51.4165526026824,-0.84713015800895 51.4170365749566,-0.84683611708707 51.4172906007402,-0.84604520337611 51.4175657156783,-0.844392103201723 51.4170946581999,-0.843138174117695 51.4178436956762,-0.841588182856631 51.4176286459001,-0.840412222846279 51.4172946598945,-0.839717046240646 51.4176646186151,-0.839642069874969 51.4176895863224,-0.83707813846748 51.4186967074334,-0.836626176565813 51.4187137082013,-0.836017144078989 51.4192427137119,-0.835299168392993 51.4196766943644,-0.834598107481799 51.4206947018106,-0.83553102706175 51.4221206143387,-0.834095107539833 51.4239337130856,-0.831905156234599 51.4263386087207,-0.836771108926704 51.4279906967334,-0.836411071839432 51.4294046642445,-0.838237136567873 51.433564639874,-0.8343441852447 51.4369986991654))"
1110001496,Old Dean,1120000355,Camberley,16127,488597.534923581,161903.274924866,-0.729198,51.349257,"POLYGON ((-0.754521882147515 51.3603522287932,-0.754521882147515 51.3575414962577,-0.756353921486988 51.3575414962577,-0.755278950157141 51.358931763586,-0.754521882147515 51.3603522287932))"
1110002900,College Town,1120000453,Sandhurst,12327,485504.540417542,161661.794048048,-0.773658,51.347559,"POLYGON ((-0.754521882147515 51.3614801659851,-0.754521882147515 51.3603522287932,-0.755278950157141 51.358931763586,-0.756353921486988 51.3575414962577,-0.792470670060444 51.3575414962577,-0.792059076566117 51.3585057328927,-0.790948038720119 51.3589837554108,-0.789655021452573 51.3597696676795,-0.788772959266342 51.3597267530434,-0.783829055175454 51.3601296989719,-0.782487985379103 51.3604306769305,-0.781030104055754 51.3603756968808,-0.777929990777046 51.3611326899984,-0.776797093435474 51.3614897111081,-0.776679055657798 51.3615506866198,-0.770736047090158 51.3603597654299,-0.762963043446544 51.3607907312536,-0.755873041987566 51.3614858065654,-0.754521882147515 51.3614801659851))"
1110002901,Little Sandhurst,1120000453,Sandhurst,8228,482921.057707307,161944.623089077,-0.81068,51.350484,"MULTIPOLYGON (((-0.834241557188189 51.3575414962577,-0.83416298562316 51.3576906437656,-0.82961797876777 51.3601236578602,-0.828482999780894 51.359506692955,-0.826023102790101 51.3581696048994,-0.820565057671662 51.3590476399336,-0.818397950006213 51.3583716403372,-0.817567791494352 51.3575414962577,-0.834241557188189 51.3575414962577)),((-0.792470670060444 51.3575414962577,-0.814775409625239 51.3575414962577,-0.811980052587816 51.3595746331585,-0.810077991565688 51.359966695205,-0.807180029343628 51.3591246684819,-0.807004963205148 51.359048722668,-0.805425057989279 51.3588096870186,-0.804666075611902 51.3588836622189,-0.803308022055953 51.3587296544059,-0.803131005924991 51.3587606583426,-0.801260044885515 51.3595656945914,-0.794157047450702 51.3592207041803,-0.792059076566117 51.3585057328927,-0.792470670060444 51.3575414962577)))"
1110005442,Calcot,1120000022,Reading,9575,466388.110657747,171332.275901412,-1.046295,51.437054,"POLYGON ((-1.02965212273691 51.4488135698076,-1.02966613192641 51.4488075730226,-1.0311412270964 51.447140575367,-1.03147323057493 51.4469595772455,-1.0306241422417 51.4454995384582,-1.02746920277205 51.4464275382543,-1.0264842207864 51.4460925165919,-1.02661417885855 51.4457164958162,-1.02620721970622 51.4454215057487,-1.02596718598626 51.4448535484615,-1.02599325272904 51.4448105266022,-1.02630017750019 51.4447155417923,-1.02630315669269 51.4446535406151,-1.026795230591 51.4439465743902,-1.02654521738088 51.443909531159,-1.02626522215952 51.4439825367232,-1.02566118889315 51.4440795480271,-1.025155276382 51.4438695794794,-1.0248162051575 51.4440815139996,-1.02452607229786 51.444134564846,-1.02422908495338 51.4443255431548,-1.02316410324223 51.4442235485145,-1.0231911681497 51.4438835302497,-1.02308919280519 51.4434805909582,-1.02280712760817 51.4433835840026,-1.02274018803375 51.4428345011266,-1.02334211672926 51.4424685284739,-1.02245710731987 51.4418515025364,-1.02265418941075 51.4417165082826,-1.02241915411507 51.4408895140697,-1.02117510709158 51.4408605292771,-1.02113219471149 51.4408035386849,-1.02156514973766 51.4401225288229,-1.02247815004774 51.4399206028249,-1.02158811682671 51.4389195961193,-1.02194007850423 51.4385695232962,-1.0216751140156 51.438045485712,-1.02163610771377 51.4373724927791,-1.02103515417245 51.4361245300967,-1.02539720089319 51.4350205741634,-1.02572412291957 51.434835594641,-1.02681617230841 51.4339604771864,-1.02501916852873 51.4333265483118,-1.02354321548802 51.4316775887606,-1.02304117030692 51.4308425275447,-1.02334417535307 51.4306045882227,-1.02384917873292 51.4300706046861,-1.02341912870852 51.4298034580467,-1.02373414037996 51.4288735324614,-1.02573508906101 51.4279165447729,-1.02601713155399 51.4278095780686,-1.02624823572006 51.4277835407522,-1.02693813554264 51.4257995785563,-1.02596021075372 51.4242105123421,-1.02579016161969 51.4235185420544,-1.02584920193248 51.4233965084839,-1.03245018358182 51.4226005063903,-1.03430911345538 51.4233195125559,-1.03437506715939 51.423318527536,-1.03635916370242 51.4231295347775,-1.04023009941486 51.4235655314327,-1.04512214446786 51.4233464904621,-1.04595009788207 51.4247765029933,-1.05524004227681 51.4308054947652,-1.05500306850354 51.431064453825,-1.05585011761363 51.43250452523,-1.05674319044341 51.4335495226114,-1.06123319398161 51.4377464994213,-1.06315215746026 51.4385284484917,-1.06380917602408 51.4392035742261,-1.06406421401936 51.4392445333657,-1.06641418174512 51.4391515281393,-1.06667110240848 51.4391525843298,-1.06780412170954 51.4392385440423,-1.06863212359135 51.4400555033389,-1.06999517454459 51.4419124413164,-1.07010923310732 51.4419974850512,-1.07098324727151 51.4428665699448,-1.07123626207807 51.4430905182615,-1.07144016420052 51.4451635228414,-1.0692831003255 51.4458785078275,-1.06543408246458 51.4491115312512,-1.06541718666142 51.4491545449356,-1.06086928309862 51.448784535641,-1.05778519566512 51.4472224596294,-1.05706319802844 51.4459565450376,-1.05705617889877 51.4459574774195,-1.05484520993798 51.4460005371645,-1.05435624791399 51.4462205176534,-1.0526111890031 51.4467275404244,-1.05227812338107 51.4473825025174,-1.05213619901631 51.4477275313206,-1.05096113617121 51.4481214657743,-1.05011121995737 51.4488324660921,-1.04981126977754 51.4489354801561,-1.04912222178808 51.4487604483764,-1.04882124384429 51.4481474583159,-1.04868821270088 51.4480744653641,-1.04679311359494 51.4478714725255,-1.04583720688534 51.4473855613545,-1.04450420841765 51.4474254980223,-1.04430021800996 51.4474045090181,-1.04352616485133 51.4479385424774,-1.03861121286309 51.4486765550351,-1.03715425266488 51.4481205733056,-1.03581514104047 51.448246567985,-1.0348911993202 51.4492665297369,-1.03485014706752 51.450009513007,-1.03268724034597 51.4514066016573,-1.03266621699151 51.4514075968631,-1.03194308523906 51.4513755614978,-1.03176310096011 51.4512175729241,-1.03115411092085 51.4507934649092,-1.03154714828474 51.4503535410048,-1.03047917178182 51.4499205145119,-1.03040213099898 51.4499165515942,-1.02965212273691 51.4488135698076))"
