PostSect,Structured_PostSect,PostDist,Structurred_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
RG1 7,RG 1 7,RG1,RG 1,RG,212,0.90828855302446,0.35069217090214,470761.501,173436.998,-0.981462,51.454997,"POLYGON ((-0.991885434801933 51.4521249745039,-0.991158373645779 51.4544205987478,-0.986967865358153 51.460382026642,-0.976314704438751 51.459804024359,-0.978150943137313 51.4562142619015,-0.975583757583863 51.4558052353097,-0.974203532157698 51.453167496555,-0.981160215874943 51.450341761187,-0.986585754771824 51.4522860495755,-0.991885434801933 51.4521249745039))"
RG1 8,RG 1 8,RG1,RG 1,RG,98,1.0321839502047,0.39852845118689,471705.499,174116.504,-0.967739,51.460988,"POLYGON ((-0.979764248099303 51.4658406193717,-0.977296068741048 51.4654864268467,-0.970892976301088 51.4634341792896,-0.970674158891757 51.4622813572853,-0.967896666717619 51.4609710342508,-0.960820467673171 51.4626170572959,-0.957219900209647 51.4620635465524,-0.955433922741908 51.4614811494693,-0.949649915068886 51.4594872615044,-0.94999412364385 51.4582854251312,-0.952281064744976 51.4571010395197,-0.955191627288265 51.4582239661463,-0.968534777901825 51.4588456516408,-0.968632253158623 51.4596287547647,-0.971241765780461 51.46072175633,-0.97186095144449 51.4600707000809,-0.974629341616812 51.460537019128,-0.976314704438751 51.459804024359,-0.986967865358153 51.460382026642,-0.988941675294987 51.4603001838352,-0.988630001470927 51.4626802786002,-0.987123164736487 51.4637733160586,-0.979011335057384 51.4647460021544,-0.979764248099303 51.4658406193717))"
RG10 0,RG10 0,RG10,RG10,RG,238,31.538273623278,12.17699552265,481537,174768.497,-0.826085,51.465519,"POLYGON ((-0.886831532103032 51.4667128410209,-0.880308117420755 51.4697349841298,-0.882620904552395 51.4711237709869,-0.879819246616166 51.4732371350192,-0.878264583874691 51.4773315596807,-0.871855337169739 51.4773870494603,-0.865709298076014 51.4743783823066,-0.855152178116932 51.4779445366299,-0.848616190890715 51.4773140538636,-0.848560863654393 51.4783655272612,-0.851323360422003 51.4790310373226,-0.849230680469271 51.4855116920981,-0.845448508051473 51.487569664982,-0.841598408727599 51.4871810333719,-0.835946045671816 51.4919626819316,-0.829551624956283 51.4924835472278,-0.815464975738475 51.5002280377949,-0.807870619648161 51.5008524620785,-0.803541892401496 51.4950536034751,-0.794620179509077 51.4870404065975,-0.788910031752556 51.4785920866254,-0.778305237535984 51.4723586327726,-0.768296921331155 51.4697451968828,-0.77292037057266 51.4691371657522,-0.781798374354887 51.4633759986852,-0.796647190553264 51.4570820118885,-0.805711149806685 51.4522651162944,-0.821104536095515 51.446342243083,-0.832410258504936 51.4403228824714,-0.850761628008914 51.4337511678178,-0.854750646079194 51.4312814390268,-0.874312781118803 51.438376691897,-0.875822799681675 51.4395781322461,-0.871256739208307 51.4456217840008,-0.871439483514227 51.4498857537216,-0.874114305549642 51.452303351916,-0.876687198066687 51.4530203844891,-0.875084258800202 51.4596859856342,-0.875859448688264 51.4621122685396,-0.880101474995201 51.4628811680002,-0.882369016650653 51.4661128874221,-0.886831532103032 51.4667128410209))"
RG10 8,RG10 8,RG10,RG10,RG,139,14.973183885492,5.7811786184415,479632.498,179970.498,-0.852325,51.51256,"POLYGON ((-0.890771739258428 51.4983656051934,-0.88360779283846 51.5008872768145,-0.871072057352402 51.5027005588616,-0.86995888476917 51.504020608713,-0.87100631385175 51.5053615578884,-0.870469470404479 51.5066781738402,-0.874611198959957 51.5093435553189,-0.880040310952092 51.5112478307893,-0.880768735064892 51.5138623846055,-0.88021244118902 51.5171571210514,-0.878575920321864 51.5180676582517,-0.878347414302687 51.5226783035546,-0.873945340768473 51.5287595215605,-0.868159556025666 51.5336134222978,-0.867572646241118 51.5375101575118,-0.854967773136274 51.5370551604021,-0.847971188703662 51.5377689282315,-0.842115845688163 51.5372527642611,-0.843205501134727 51.5352224125457,-0.842197465481604 51.5334680129931,-0.839448637388857 51.5355449739269,-0.840030411159565 51.541584217574,-0.82448674322935 51.5264311528799,-0.817106697749756 51.5208450255582,-0.824480580315899 51.5193905070376,-0.840893597596982 51.5115689741013,-0.846000050537804 51.5079417041705,-0.848108658997941 51.5043206860482,-0.848857300352784 51.5026286077783,-0.846407455288438 51.5020829891738,-0.846447880347843 51.4999073454545,-0.847956241693625 51.4972245697254,-0.851333343831587 51.494686026875,-0.850268418611885 51.4940731301847,-0.860694320532351 51.4913154407786,-0.86779216209307 51.487958247788,-0.870767372443866 51.4887962299497,-0.87079595374079 51.4882210074019,-0.880417636419429 51.4846714888279,-0.882682224165189 51.4868871049219,-0.883568595994471 51.4901057014597,-0.880542830723455 51.4919112238862,-0.887538449592863 51.492112613149,-0.887624780210185 51.4968521275944,-0.890771739258428 51.4983656051934))"
RG10 9,RG10 9,RG10,RG10,RG,291,16.256961849546,6.2768480614519,477342.52,176392.502,-0.886107,51.480709,"POLYGON ((-0.926296259677585 51.4849206033079,-0.919734770715798 51.4895541122251,-0.919352508617121 51.4917086407376,-0.915517470679587 51.4942898477455,-0.907151983469725 51.4953362334479,-0.899708957908001 51.4987375031385,-0.89704945359558 51.4973097589106,-0.89329062365788 51.496671898099,-0.890771739258428 51.4983656051934,-0.887624780210185 51.4968521275944,-0.887538449592863 51.492112613149,-0.880542830723455 51.4919112238862,-0.883568595994471 51.4901057014597,-0.882682224165189 51.4868871049219,-0.880417636419429 51.4846714888279,-0.87079595374079 51.4882210074019,-0.870767372443866 51.4887962299497,-0.86779216209307 51.487958247788,-0.860694320532351 51.4913154407786,-0.850268418611885 51.4940731301847,-0.851333343831587 51.494686026875,-0.847956241693625 51.4972245697254,-0.846447880347843 51.4999073454545,-0.846407455288438 51.5020829891738,-0.848857300352784 51.5026286077783,-0.848108658997941 51.5043206860482,-0.846000050537804 51.5079417041705,-0.840893597596982 51.5115689741013,-0.824480580315899 51.5193905070376,-0.817106697749756 51.5208450255582,-0.81077466183485 51.518254305238,-0.808113775322044 51.5158354407011,-0.81014550693898 51.5114230762053,-0.810571495860777 51.5072371155352,-0.80826160317527 51.5040935702354,-0.807870619648161 51.5008524620785,-0.815464975738475 51.5002280377949,-0.829551624956283 51.4924835472278,-0.835946045671816 51.4919626819316,-0.841598408727599 51.4871810333719,-0.845448508051473 51.487569664982,-0.849230680469271 51.4855116920981,-0.851323360422003 51.4790310373226,-0.848560863654393 51.4783655272612,-0.848616190890715 51.4773140538636,-0.855152178116932 51.4779445366299,-0.865709298076014 51.4743783823066,-0.871855337169739 51.4773870494603,-0.878264583874691 51.4773315596807,-0.879819246616166 51.4732371350192,-0.882620904552395 51.4711237709869,-0.884224851138866 51.472065213188,-0.887242351705491 51.4717252296792,-0.891317828612293 51.4746591808209,-0.897898721808763 51.4746313069061,-0.900985958617693 51.4737880440454,-0.911833245238758 51.4765957632346,-0.913785574775713 51.4756337547588,-0.923039236132013 51.4795136330919,-0.925002125089165 51.4842253893131,-0.926296259677585 51.4849206033079))"
RG12 1,RG12 1,RG12,RG12,RG,235,1.4569411845808,0.56252813623604,486013.001,169234.501,-0.763004,51.415102,"POLYGON ((-0.754521882147515 51.4136667650899,-0.75764560100102 51.415015305464,-0.760861600474888 51.4141411356309,-0.760993817672339 51.4129735472998,-0.763293240017177 51.4135553529436,-0.771923237162587 51.4134751817249,-0.782100019319689 51.411459297399,-0.785397438245202 51.4145417473589,-0.785109894161571 51.4161663090544,-0.784202500708635 51.4162199185259,-0.780811087203485 51.4166702145935,-0.780556259317288 51.4176027454016,-0.778164649941266 51.4183061726638,-0.775731802374648 51.4173186437014,-0.773831885822827 51.4200683549876,-0.766430100370233 51.4177516962078,-0.763597359018964 51.4177398394221,-0.763285565226156 51.4170351885863,-0.761886026016953 51.4182703117855,-0.755656267584199 51.4173141313914,-0.756780011673017 51.4193583032875,-0.754521882147515 51.4191320050457,-0.754521882147515 51.4136667650899))"
RG12 7,RG12 7,RG12,RG12,RG,267,13.14062506763,5.073623703209,487448.499,166198,-0.743113,51.387583,"POLYGON ((-0.754521882147515 51.4136667650899,-0.754521882147515 51.3619688829705,-0.768355425526281 51.3615983362682,-0.768540879205683 51.3632549091523,-0.76587147598527 51.3674440984114,-0.765511792826254 51.3717385710108,-0.772885921633462 51.3801876056102,-0.773886025382837 51.382554047293,-0.771835899466358 51.387208479947,-0.76910814519441 51.3913881271246,-0.764031340178103 51.3957767848538,-0.761287472995191 51.3967818827721,-0.761853346491457 51.3997822697254,-0.764949776177911 51.4027732924731,-0.768419369774043 51.4041946206976,-0.769384220763976 51.4057424151448,-0.765031594140297 51.4104084825918,-0.760993817672339 51.4129735472998,-0.760861600474888 51.4141411356309,-0.75764560100102 51.415015305464,-0.754521882147515 51.4136667650899))"
RG12 8,RG12 8,RG12,RG12,RG,188,3.6689477200577,1.4165886342937,485236.501,167835.497,-0.774505,51.402642,"POLYGON ((-0.79070043133621 51.4135714951391,-0.790575603551743 51.4150359454348,-0.787553691725609 51.4183766728621,-0.78539264472989 51.4196042054127,-0.783658700077903 51.4188309336122,-0.784202500708635 51.4162199185259,-0.785109894161571 51.4161663090544,-0.785397438245202 51.4145417473589,-0.782100019319689 51.411459297399,-0.771923237162587 51.4134751817249,-0.763293240017177 51.4135553529436,-0.760993817672339 51.4129735472998,-0.765031594140297 51.4104084825918,-0.769384220763976 51.4057424151448,-0.768419369774043 51.4041946206976,-0.764949776177911 51.4027732924731,-0.761853346491457 51.3997822697254,-0.761287472995191 51.3967818827721,-0.764031340178103 51.3957767848538,-0.76910814519441 51.3913881271246,-0.771835899466358 51.387208479947,-0.774289844729234 51.3868024939756,-0.783313180308479 51.3982534908878,-0.786998537335521 51.404028682553,-0.786494996753206 51.4078450752306,-0.790274942210944 51.411714736098,-0.79070043133621 51.4135714951391))"
RG2 0,RG 2 0,RG2,RG 2,RG,472,3.0900349314228,1.1930691569939,471275.997,170776.5,-0.974594,51.431012,"POLYGON ((-0.988275721966565 51.4272583561941,-0.985475480894899 51.4341938686836,-0.98293928274355 51.4337402257679,-0.97798299977964 51.4347222797083,-0.977112804363649 51.4408381148074,-0.981877510270329 51.4426779788054,-0.975500460262425 51.4460213759194,-0.975407926787458 51.4475851607628,-0.973987034054545 51.4474198226978,-0.973536816489004 51.4482431703626,-0.972030954524328 51.448014148848,-0.972062840722032 51.4465937586475,-0.970508615994452 51.4459596863305,-0.966368603693421 51.446408785932,-0.965792226525997 51.4458102229755,-0.965285156989498 51.4465970797218,-0.964946667334433 51.4443821011808,-0.96400735677377 51.4388347738594,-0.966501651791396 51.4386049925739,-0.967449433644495 51.4367699969605,-0.968092408603502 51.4331339969804,-0.967300908090177 51.4312297401531,-0.968995670643544 51.4281514244002,-0.969095488240205 51.4217950556225,-0.97249175770115 51.4146493068828,-0.975322511632343 51.4179560918656,-0.978443490043234 51.4185857925378,-0.977447671158464 51.4200338272815,-0.978913390130292 51.4220247919088,-0.981517658590302 51.4206807098168,-0.984320612082201 51.4220447894036,-0.983890085853444 51.423299924442,-0.979598626618239 51.4241888304197,-0.980791394957671 51.4261773938305,-0.988275721966565 51.4272583561941))"
RG2 6,RG 2 6,RG2,RG 2,RG,23,1.3192404416126,0.50936158214312,470706.498,169478.001,-0.983044,51.419408,"POLYGON ((-0.988275721966565 51.4272583561941,-0.980791394957671 51.4261773938305,-0.979598626618239 51.4241888304197,-0.983890085853444 51.423299924442,-0.984320612082201 51.4220447894036,-0.981517658590302 51.4206807098168,-0.978913390130292 51.4220247919088,-0.977447671158464 51.4200338272815,-0.978443490043234 51.4185857925378,-0.975322511632343 51.4179560918656,-0.97249175770115 51.4146493068828,-0.97213697233858 51.4125150951636,-0.985968343030179 51.4171224722795,-0.995696107413965 51.4194542550399,-0.997102324486652 51.4222267295468,-0.996178127685679 51.4223986946813,-0.995307874895349 51.4247021288077,-0.988275721966565 51.4272583561941))"
