PostDist,Structured_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
RG1,RG 1,RG,1204,7.0883374281456,2.7368223814842,471794.312375,173240.936625,-0.966638125,51.45310375,POINT (-0.968158741807752 51.4536174833687)
RG10,RG10,RG,668,62.768419358316,24.235022202543,479504.006,177043.83233333,-0.854839,51.486262666667,POINT (-0.856371299086422 51.4867759439625)
RG2,RG 2,RG,1149,26.785210275206,10.34182750427,472470.9982,169658.2998,-0.9576376,51.4208044,POINT (-0.95915389572956 51.4213232426029)
RG30,RG30,RG,976,25.02564416114,9.6624552295314,468500.0996,172945.3008,-1.0141014,51.4508538,POINT (-1.01561757076472 51.4513671118946)
RG31,RG31,RG,610,8.5461427680191,3.2996841699441,466242.84075,173266.87575,-1.04652475,51.4540145,POINT (-1.04803677075914 51.4545262752321)
RG4,RG 4,RG,975,51.241660449257,19.784515706757,471717.9002,176723.8994,-0.9670352,51.4844264,POINT (-0.96855262401768 51.4849391650827)
RG40,RG40,RG,918,43.902788090689,16.950961247847,481428.7998,167608.2006,-0.829283,51.4011552,POINT (-0.830823890243003 51.4016792410154)
RG41,RG41,RG,700,17.707237530033,6.8368026321694,479207.9,168911.2006,-0.8609226,51.4131868,POINT (-0.86245294202741 51.4137070066881)
RG45,RG45,RG,386,11.090167901775,4.2819377654736,483577.7475,164138.2525,-0.7992185,51.369648,POINT (-0.800754462384759 51.3701734416462)
RG5,RG 5,RG,480,8.388287541165,3.2387359261185,476578.9975,173149.248,-0.8978035,51.4516525,POINT (-0.899331932425919 51.452167274368)
RG6,RG 6,RG,675,11.063620055175,4.2716875845966,474651.61783333,171266.26216667,-0.925937,51.43498,POINT (-0.927460639846197 51.4354962778581)
RG7,RG 7,RG,1408,189.14178484145,73.028051397856,462869.92885714,166204.99971429,-1.096339,51.390881428571,POINT (-1.09782357530365 51.3914206293244)
RG8,RG 8,RG,848,112.84833157678,43.570984409707,461829.375,178883.3765,-1.10905525,51.5050095,POINT (-1.11056544681665 51.5055191923476)
