PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
GU,261,1641.901694994,633.94178855167,489256.52677679,148372.77946429,-0.72149533928571,51.2269655625,"MULTIPOLYGON (((-0.811881675651667 51.3575414962577,-0.836536884981116 51.3575414962577,-0.824367184211037 51.3618139864958,-0.820775305983213 51.3579382899668,-0.811881675651667 51.3575414962577)),((-0.796754405177031 51.3575414962577,-0.794608162735398 51.3579058632052,-0.790569220664559 51.3596625983044,-0.771374290853018 51.3615041732794,-0.768355425526281 51.3615983362682,-0.754521882147515 51.3619688829705,-0.754521882147515 51.3575414962577,-0.796754405177031 51.3575414962577)))"
OX,249,2378.8922585098,918.49543595055,449097.38220952,211840.72922857,-1.2879517142857,51.802506647619,"POLYGON ((-1.16376260480376 51.5341235269498,-1.16376260480376 51.5432549370844,-1.14291252517515 51.5432549370844,-1.1444885024335 51.539342837127,-1.15229006526185 51.5385183340942,-1.16288599237142 51.533900746542,-1.16376260480376 51.5341235269498))"
RG,137,1948.4627946495,752.30569085381,467130.90027907,168019.97382171,-1.0346871860465,51.406576472868,"POLYGON ((-1.16376260480376 51.5341235269498,-1.16288599237142 51.533900746542,-1.15229006526185 51.5385183340942,-1.1444885024335 51.539342837127,-1.14291252517515 51.5432549370844,-0.842402256677556 51.5432549370844,-0.840030411159565 51.541584217574,-0.82448674322935 51.5264311528799,-0.817106697749756 51.5208450255582,-0.81077466183485 51.518254305238,-0.808113775322044 51.5158354407011,-0.81014550693898 51.5114230762053,-0.810571495860777 51.5072371155352,-0.80826160317527 51.5040935702354,-0.807870619648161 51.5008524620785,-0.803541892401496 51.4950536034751,-0.794620179509077 51.4870404065975,-0.788910031752556 51.4785920866254,-0.778305237535984 51.4723586327726,-0.768296921331155 51.4697451968828,-0.754521882147515 51.4651449380242,-0.754521882147515 51.3619688829705,-0.768355425526281 51.3615983362682,-0.771374290853018 51.3615041732794,-0.790569220664559 51.3596625983044,-0.794608162735398 51.3579058632052,-0.796754405177031 51.3575414962577,-0.811881675651667 51.3575414962577,-0.820775305983213 51.3579382899668,-0.824367184211037 51.3618139864958,-0.836536884981116 51.3575414962577,-1.16376260480376 51.3575414962577,-1.16376260480376 51.5341235269498))"
SL,225,398.76542638358,153.9641918788,494199.91216327,180623.84689796,-0.64226710204082,51.516165040816,"POLYGON ((-0.842402256677556 51.5432549370844,-0.754521882147515 51.5432549370844,-0.754521882147515 51.4651449380242,-0.768296921331155 51.4697451968828,-0.778305237535984 51.4723586327726,-0.788910031752556 51.4785920866254,-0.794620179509077 51.4870404065975,-0.803541892401496 51.4950536034751,-0.807870619648161 51.5008524620785,-0.80826160317527 51.5040935702354,-0.810571495860777 51.5072371155352,-0.81014550693898 51.5114230762053,-0.808113775322044 51.5158354407011,-0.81077466183485 51.518254305238,-0.817106697749756 51.5208450255582,-0.82448674322935 51.5264311528799,-0.840030411159565 51.541584217574,-0.842402256677556 51.5432549370844))"
