PostSect,Structured_PostSect,PostDist,Structurred_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
RG40 1,RG40 1,RG40,RG40,RG,320,3.1934623498268,1.2330027064922,482591.498,168939.001,-0.812267,51.412955,POINT (-0.813803936637671 51.4134748431212)
RG40 2,RG40 2,RG40,RG40,RG,127,2.2626251622011,0.87360445909829,482079.501,168133.501,-0.819815,51.405787,POINT (-0.821350514657763 51.4063078848493)
RG40 3,RG40 3,RG40,RG40,RG,215,16.624959467892,6.4189327362337,482454,165316.003,-0.815086,51.380401,POINT (-0.81662114239025 51.3809251587911)
RG40 4,RG40 4,RG40,RG40,RG,173,12.920368996924,4.9885823588774,478120,164583.497,-0.877516,51.374428,POINT (-0.879043902208699 51.3749520813569)
RG40 5,RG40 5,RG40,RG40,RG,83,8.9013721138447,3.436838987145,481899,171069.001,-0.821731,51.432205,POINT (-0.823267645495529 51.4327231775834)
RG41 1,RG41 1,RG41,RG41,RG,91,2.1551634452565,0.83211325822531,479870.5,169800.999,-0.851195,51.421095,POINT (-0.852727116147602 51.4216132861022)
RG41 2,RG41 2,RG41,RG41,RG,139,1.7433951685227,0.67312863775909,480430.497,168146.503,-0.843517,51.40614,POINT (-0.845049938113838 51.4066606850858)
RG41 3,RG41 3,RG41,RG41,RG,130,1.7413944361187,0.67235615065924,479227.501,168996.499,-0.860621,51.413952,POINT (-0.862152121984443 51.4144710859134)
RG41 4,RG41 4,RG41,RG41,RG,110,4.2797058034302,1.652403648631,478696,167717.5,-0.868547,51.402526,POINT (-0.870076598314926 51.4030469840976)
RG41 5,RG41 5,RG41,RG41,RG,230,7.7875786767044,3.0068009368947,477815.002,169894.502,-0.880733,51.422221,POINT (-0.882262063972133 51.4227393496985)
RG42 1,RG42 1,RG42,RG42,RG,120,0.9029126142055,0.34861650931995,485629,169779.5,-0.768393,51.42006,POINT (-0.769935054317124 51.4205805625699)
RG42 4,RG42 4,RG42,RG42,RG,133,4.7574981616106,1.8368803094596,485526.497,170239.998,-0.769756,51.424216,POINT (-0.771297841511017 51.4247356690183)
RG42 5,RG42 5,RG42,RG42,RG,103,11.720169973176,4.5251829251277,485035.998,173111.002,-0.77612,51.450102,POINT (-0.777662246361559 51.4506182980566)
RG45 6,RG45 6,RG45,RG45,RG,228,5.4074421710027,2.0878250944176,483155.497,164166.502,-0.805277,51.369964,POINT (-0.806812323382456 51.3704893025282)
RG45 7,RG45 7,RG45,RG45,RG,158,5.6827257307725,2.194112671056,483999.998,164110.003,-0.79316,51.369332,POINT (-0.794696675406577 51.3698572769058)
RG5 3,RG 5 3,RG5,RG 5,RG,210,2.6444886456452,1.0210427743246,475846.997,173055.997,-0.908357,51.450913,POINT (-0.909884258769526 51.4514273330631)
RG5 4,RG 5 4,RG5,RG 5,RG,270,5.7437988955198,2.2176931517939,477310.998,173242.499,-0.88725,51.452392,POINT (-0.888779265050181 51.4529062635844)
RG6 1,RG 6 1,RG6,RG 6,RG,149,2.9250645921979,1.1293737529237,474261.212,173037.498,-0.93118,51.450957,POINT (-0.932704951400375 51.451470897349)
RG6 3,RG 6 3,RG6,RG 6,RG,94,1.4238981881518,0.54977016399008,475926.5,170476.001,-0.907767,51.427706,POINT (-0.909292824109093 51.4282227254833)
RG6 4,RG 6 4,RG6,RG 6,RG,125,1.9546081222429,0.75467841510259,474608.498,169816,-0.926862,51.421947,POINT (-0.928385815578165 51.4224640964353)
RG6 5,RG 6 5,RG6,RG 6,RG,127,1.722696754345,0.66513693536668,474325,170643.503,-0.930765,51.429424,POINT (-0.932288986657733 51.4299405472576)
RG6 6,RG 6 6,RG6,RG 6,RG,35,1.0397297368429,0.40144189569581,473547.499,171945.569,-0.941678,51.441233,POINT (-0.943200724682148 51.4417474469603)
RG6 7,RG 6 7,RG6,RG 6,RG,145,1.9976226613946,0.77128642151775,475240.998,171679.002,-0.91737,51.438613,POINT (-0.918895839441134 51.4391289486284)
RG7 1,RG 7 1,RG7,RG 7,RG,289,32.744303542949,12.642646277902,472077.5,165303.002,-0.964177,51.381697,POINT (-0.965695371297203 51.3822185652656)
